case_id,cycle_duration,normalized_score
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.8980769230769231
15,15,0.8352941176470589
15,15,0.8352941176470589
15,15,0.87
15,15,0.8875
15,15,0.8725
15,15,0.89
15,15,0.89
15,15,0.89
15,15,0.89
15,15,0.8352941176470589
15,15,0.8980769230769231
15,15,0.9057692307692308
15,15,0.9083333333333333
15,15,0.9
15,15,0.885
15,15,0.9057692307692308
15,15,0.8826923076923077
15,15,0.89
15,15,0.865
15,15,0.8865384615384615
15,15,0.9083333333333333
15,15,0.9
15,15,0.8541666666666666
15,15,0.9019230769230769
15,15,0.9083333333333333
15,15,0.8375
15,15,0.8375
15,15,0.9019230769230769
15,15,0.9057692307692308
15,15,0.8541666666666666
15,15,0.9
15,15,0.8826923076923077
16,15,0.7111111111111111
16,15,0.7724137931034483
16,15,0.7172413793103448
16,15,0.7172413793103448
16,15,0.8189655172413793
16,15,0.8
16,15,0.7172413793103448
16,15,0.7
16,15,0.7965517241379311
16,15,0.7172413793103448
16,15,0.7965517241379311
16,15,0.8166666666666667
16,15,0.8166666666666667
16,15,0.8166666666666667
16,15,0.8166666666666667
16,15,0.7555555555555555
16,15,0.8166666666666667
16,15,0.8166666666666667
16,15,0.6944444444444444
16,15,0.6944444444444444
17,15,0.845
17,15,0.8525
17,15,0.8325
17,15,0.7421052631578947
17,15,0.8342105263157895
17,15,0.8342105263157895
17,15,0.8525
17,15,0.8565217391304348
17,15,0.8157894736842105
17,15,0.8125
17,15,0.815
17,15,0.845
17,15,0.845
17,15,0.8325
17,15,0.8325
17,15,0.8565217391304348
17,15,0.8565217391304348
17,15,0.8304347826086956
17,15,0.8157894736842105
17,15,0.8342105263157895
17,15,0.7421052631578947
17,15,0.8565217391304348
17,15,0.8157894736842105
17,15,0.7526315789473684
17,15,0.8289473684210527
17,15,0.8565217391304348
17,15,0.8565217391304348
17,15,0.8565217391304348
17,15,0.8565217391304348
17,15,0.8652173913043478
18,15,0.790625
18,15,0.784375
18,15,0.790625
18,15,0.834375
18,15,0.922
18,15,0.934
18,15,0.922
18,15,0.922
18,15,0.790625
18,15,0.784375
18,15,0.922
18,15,0.832
18,15,0.832
18,15,0.874
18,15,0.922
18,15,0.922
18,15,0.85625
18,15,0.784375
18,15,0.790625
18,15,0.790625
19,15,0.7583333333333333
19,15,0.6916666666666667
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
19,15,0.7583333333333333
20,15,1
20,15,1
20,15,0.8571428571428571
20,15,0.9375
20,15,0.24489795918367346
20,15,0.24761905799917625
20,15,0.28299318689878294
20,15,0.28299318689878294
20,15,0.28299318689878294
20,15,0.2693877447219122
20,15,0.6945578127491231
20,15,0.3544217583273544
20,15,0.8299319727891157
20,15,0.878125
20,15,0.9375
20,15,0.8272108739736129
20,15,0.9375
20,15,0.9375
20,15,0.921875
20,15,0.921875
20,15,0.9375
20,15,0.9375
20,15,1
20,15,1
20,15,0.9375
20,15,0.5
20,15,0.5
20,15,1
20,15,1
20,15,0.9285714285714286
21,15,0.5
21,15,0.6190476190476191
21,15,0.47619047619047616
21,15,0.6190476190476191
21,15,0.47619047619047616
21,15,0.47619047619047616
21,15,0.47619047619047616
21,15,0.6190476190476191
21,15,0.47619047619047616
21,15,0.47619047619047616
21,15,0.47619047619047616
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.6666666666666666
21,15,0.5
21,15,0.6666666666666666
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5
21,15,0.5625
21,15,0.78125
21,15,0.5625
21,15,0.78125
21,15,0.75
21,15,0.75
21,15,0.78125
21,15,0.5625
21,15,0.5625
21,15,0.5625
22,15,0
22,15,0.1
22,15,0
22,15,0
22,15,0
22,15,0
22,15,0
22,15,0
22,15,0
22,15,0.1
23,15,0.125
23,15,0.125
23,15,0
23,15,0
23,15,0.125
23,15,0
23,15,0
23,15,0.125
23,15,0.125
23,15,0.125
24,15,0
24,15,0
24,15,0
24,15,0.3684210526315789
24,15,0.18421052631578946
24,15,0.18421052631578946
